label	text_a
0	"Court  rejects  $280bn  tobacco  case  |||    A  US  government  claim  accusing  the  country's  biggest  tobacco  companies  of  covering  up  the  effects  of  smoking  has  been  thrown  out  by  an  appeal  court.  |||    The  demand  for  $280bn  (£155bn)  -  filed  by  the  Clinton  administration  in  1999  -  was  rejected  in  a  2-1  decision.  The  court  in  Washington  found  that  the  case  could  not  be  brought  under  federal  anti-racketeering  laws.  Among  the  accused  were  Altria  Group,  RJ  Reynolds  Tobacco,  Lorillard  Tobacco,  Liggett  Group  and  Brown  and  Williamson.  In  its  case,  the  government  claimed  tobacco  firms  manipulated  nicotine  levels  to  increase  addiction,  targeted  teenagers  with  multi-billion  dollar  advertising  campaigns,  lied  about  the  dangers  of  smoking  and  ignored  research  to  the  contrary.  |||    Prosecutors  wanted  the  cigarette  firms  to  surrender  $280bn  in  profits  accumulated  over  the  past  50  years  and  impose  tougher  rules  on  marketing  their  products.  But  the  Court  of  Appeals  for  the  District  of  Columbia  ruled  that  the  US  government  could  not  sue  the  firms  under  legislation  drawn  up  to  counteract  Mafia  infiltration  of  business.  The  tobacco  companies  deny  that  they  illegally  conspired  to  promote  smoking  and  defraud  the  public.  They  also  say  they  have  already  met  many  of  the  government's  demands  in  a  landmark  $206bn  settlement  reached  with  46  states  in  1998.  Shares  of  tobacco  companies  closed  higher  after  the  ruling,  with  Altria  rising  5%  and  Reynolds  showing  gains  of  4.5%." 

2	"Game  warnings  'must  be  clearer'  |||    Violent  video  games  should  carry  larger  warnings  so  parents  can  understand  what  their  children  are  playing,  the  trade  and  industry  secretary  has  said.  |||    Patricia  Hewitt  is  expected  to  call  for  the  law  banning  the  sale  of  18-rated  games  to  children  to  be  enforced  better  at  a  games  industry  meeting  on  Sunday.  She  is  concerned  too  many  children  are  playing  games  aimed  at  adults  which  include  ""high  levels  of  violence"".  Parents  are  expected  to  spend  millions  on  video  games  as  Christmas  presents.  |||    Violent  games  have  been  hit  by  controversy  after  the  game  Manhunt  was  blamed  by  the  parents  of  14-year-old  Stefan  Pakeerah,  who  was  stabbed  to  death  in  Leicester  in  February.  His  mother,  Giselle,  said  her  son's  killer,  Warren  Leblanc,  17  -  who  was  jailed  for  life  in  September  -  had  mimicked  behaviour  in  the  game.  Police  investigating  the  Stefan's  murder  dismissed  its  influence  and  Manhunt  was  not  part  of  its  legal  case.  Ahead  of  Sunday's  meeting  in  London,  Ms  Hewitt  said  she  was  proud  of  the  UK's  ""vibrant  games  industry""  but  was  concerned  too  many  children  were  playing  games  which  should  only  be  sold  to  adults.  Roger  Bennett,  head  of  gaming  industry  body  ELSPA,  said  banning  violent  games  would  be  wrong.  He  said:  ""We  don't  want  to  go  down  that  route.  We  have  seen  that  the  government  is  supportive  of  the  industry.""  The  government  is  holding  a  further  meeting  on  Friday  with  industry  and  retail  representatives  as  well  as  the  British  Board  of  Film  Classification  to  discuss  how  labelling  can  be  made  clearer.  Ms  Hewitt  said:  ""Adults  should  be  treated  as  adults  and  children  as  children.  It  is  important  that  retailers  respect  the  classifications  and  do  not  sell  games  with  high  levels  of  violence  to  minors.  |||    ""Equally  parents  need  to  know  what  they  might  be  buying  for  their  children.  ""Video  games  are  different  to  films  or  videos,  and  not  all  parents  have  grown  up  playing  games  in  the  way  our  children  do.  ""We  need  to  look  carefully  at  how  we  improve  content  warnings  and  strengthen  sales  enforcement.""  Her  call  was  backed  by  Culture,  Media  and  Sport  Secretary  Tessa  Jowell  who  said:  ""You  wouldn't  let  your  child  watch  the  Texas  Chainsaw  Massacre.  You  wouldn't  let  them  go  to  a  strip  club.  ""So  you  shouldn't  let  them  play  an  18-rated  game.  It's  the  same  principle  -  adults  can  make  their  own  informed  choices,  but  children  can't  always  and  need  to  be  protected.""  Anyone  convicted  of  selling  an  18-rated  game  to  a  child  can  be  jailed  for  six  months  and  fined  up  to  £5,000.  Rockstar  Games,  the  makers  of  Manhunt,  has  said  in  the  past  it  markets  its  games  responsibly  and  only  targets  its  adverts  at  adults." 

1	"Byrds  producer  Melcher  dies  at  62  |||    Record  producer  Terry  Melcher,  who  was  behind  hits  by  the  Byrds,  Ry  Cooder  and  the  Beach  Boys,  has  died  aged  62.  |||    The  son  of  actress  Doris  Day,  he  helped  write  Kokomo  for  the  Beach  Boys,  which  was  used  in  the  movie  Cocktail,  earning  a  1988  Golden  Globe  nomination.  He  also  produced  Mr  Tambourine  Man  for  the  Byrds,  as  well  as  other  his  such  as  Turn,  Turn  Turn.  Melcher  died  on  Friday  night  at  his  home  in  Beverly  Hills,  California,  after  a  long  battle  with  skin  cancer.  He  joined  Columbia  Records  as  a  producer  in  the  mid-1960s,  and  also  worked  with  Gram  Parsons  and  the  Mamas  and  the  Papas.  |||    Earlier  in  his  career,  Melcher  had  hits  as  part  of  duo  called  Bruce  &  Terry,  with  future  Beach  Boy  Bruce  Johnston,  which  evolved  into  the  Rip  Chords  group.  Melcher  also  worked  closely  with  his  mother,  producing  The  Doris  Day  Show  and  helping  to  run  her  charitable  activities.  In  1969  his  name  became  linked  with  the  Charles  Manson  murders,  which  saw  the  deaths  of  actress  Sharon  Tate  and  four  of  her  friends  at  a  home  which  Melcher  once  rented.  Rumours  circulated  that  Melcher  -  who  knew  Manson  -  was  the  killer's  real  target,  because  he  had  turned  him  down  for  a  record  contract.  But  Los  Angeles  police  discounted  the  rumours,  pointing  out  Melcher  had  moved  to  Malibu,  and  Manson  knew  of  his  new  address." 

1	"CSI  shows  give  'unrealistic  view'  |||    People  have  unrealistic  expectations  of  forensic  science  thanks  to  the  success  of  the  CSI  TV  shows,  real  experts  say.  |||    Evidence  submitted  to  forensic  labs  has  shot  up  as  a  result  of  the  programmes,  at  a  time  when  many  have  large  backlogs,  science  investigators  claim.  Lawyers  also  fear  the  effect  because  jurors  have  a  distorted  view  of  how  forensic  evidence  is  used.  The  issue  was  discussed  at  a  major  science  conference  in  Washington  DC.  Crime  Scene  Investigation  (CSI)  and  its  spin-offs,  CSI:  Miami  and  CSI:  New  York,  have  proven  exceptionally  popular  with  audiences  on  both  sides  of  the  Atlantic.  |||    Each  episode,  a  team  of  forensic  investigators  goes  about  solving  a  crime  through  the  ingenious  appliance  of  science  -  and  the  extensive  resources  at  their  disposal.  ""The  CSI  effect  is  basically  the  perception  of  the  near-infallibility  of  forensic  science  in  response  to  the  TV  show,""  said  Max  Houck,  who  runs  a  forensic  science  graduate  course  at  West  Virginia  University,  US.  ""This  TV  show  comes  on  and  everyone  starts  watching  it  -  including  the  cops  and  prosecutors  -  and  submissions  to  forensic  laboratories  go  through  the  roof,""  he  told  the  annual  meeting  of  the  American  Association  for  the  Advancement  of  Science  (AAAS).  The  American  forensics  expert  said  there  were  roughly  200,000-300,000  backlogged  DNA  samples  in  US  labs.  Yet  these  constituted  just  10%  of  the  total  test  backlog,  said  Dr  Houck.  Forensic  pathologist  Dr  Patricia  McFeeley  said  she  had  started  to  see  the  show's  influence  in  dealing  with  the  families  of  victims.  ""What  I  find  is  that  families  now  are  more  dissatisfied  with  the  investigation  than  was  previously  the  case,""  she  explained.  ""For  example,  on  television,  the  toxicology  results  are  available  almost  instantaneously.  But  when  people  find  out  that  it  can  take  several  months,  they  can  find  that  very  difficult.""  |||    Dr  McFeeley  added  that  the  accuracy  with  which  forensic  investigators  can  determine  time  of  death  was  far  lower  than  most  people's  perceptions.  The  show's  influence  can  follow  forensic  investigators  all  the  way  into  the  courtroom,  making  lawyers  jittery.  ""Prosecutors  fear  the  CSI  effect  with  juries  because,  for  example,  they  wonder:  'why  wasn't  everything  tested?'  Well,  in  fact,  not  everything  needs  to  be  tested,""  Dr  Houck  explained.  ""Defence  attorneys  also  worry  about  the  CSI  effect  because  they  think  that  jurors  come  in  and  have  this  view  of  science  as  a  juggernaut;  this  objective  method  that's  always  accurate.""  However,  he  admitted  the  show  had  had  positive  as  well  as  negative  effects  on  the  field.  ""My  university  course  started  with  four  graduates  in  1999;  we're  now  the  largest  major  on  campus  -  with  400  students,""  he  said.  Dr  Houck  added  that  there  was  an  urgent  need  for  better  funding  of  forensic  science  at  the  university  level:  ""There's  more  money  spent  in  this  country  on  holistic  medicine  than  there  is  on  forensic  science  research.""" 

2	"Tory  expert  denies  defeatism  |||    The  Conservatives'  campaign  director  has  denied  a  report  claiming  he  warned  Michael  Howard  the  party  could  not  win  the  next  general  election.  |||    The  Times  on  Monday  said  Australian  Lynton  Crosby  told  the  party  leader  to  focus  on  trying  to  increase  the  Tories'  Commons  presence  by  25  to  30  seats.  But  Mr  Crosby  said  in  a  statement:  ""I  have  never  had  any  such  conversation...  and  I  do  not  hold  that  view.""  Mr  Howard  later  added  there  was  not  ""one  iota""  of  truth  in  the  report.  The  strategist  helped  Australia's  PM,  John  Howard,  win  four  elections.  Mr  Howard  appointed  Mr  Crosby  as  his  elections  chief  last  October.  Mr  Crosby's  statement  said:  ""The  Conservative  Party  has  been  making  an  impact  on  the  issues  of  lower  tax  and  controlled  immigration  over  the  past  week.""  It  added:  ""The  Labour  Party  will  be  wanting  to  do  all  they  can  to  distract  attention  away  from  the  issues  that  really  matter  to  people.""" 

0	"Air  passengers  win  new  EU  rights  |||    Air  passengers  who  are  unable  to  board  their  flights  because  of  overbooking,  cancellations  or  flight  delays  can  now  demand  greater  compensation.  |||    New  EU  rules  set  compensation  at  between  250  euros  (£173)  and  600  euros,  depending  on  the  length  of  the  flight.  The  new  rules  will  apply  to  all  scheduled  and  charter  flights,  including  budget  airlines.  Airlines  have  attacked  the  legislation  saying  they  could  be  forced  to  push  prices  higher  to  cover  the  extra  cost.  The  European  Commission  is  facing  two  legal  challenges  -  one  from  the  European  Low-fare  Airlines  Association  (ELAA)  and  the  other  from  the  International  Air  Transport  Association  (IATA),  which  has  attacked  the  package  as  a  ""bad  piece  of  legislation"".  Previously,  passengers  could  claim  between  150  euros  and  300  euros  if  they  had  been  stopped  from  boarding.  |||    However,  only  scheduled  flight  operators  were  obliged  to  offer  compensation  in  cases  of  overbooking  and  they  did  not  have  to  offer  compensation  for  flight  cancellations.  |||    The  EU  decided  to  increase  passenger  compensation  in  a  bid  to  deter  airlines  from  deliberately  overbooking  flights.  Overbooking  can  often  lead  to  'bumping'  -  when  a  passenger  is  moved  to  a  later  flight.  When  this  happens  against  a  passenger's  will,  airlines  will  now  have  to  offer  compensation.  In  addition,  if  a  flight  is  cancelled  or  delayed  for  more  than  two  hours  through  the  fault  of  the  airline,  all  passengers  must  be  paid  compensation.  |||    However,  airlines  do  not  have  to  offer  compensation  if  flights  are  cancelled  or  delayed  due  to  ""extraordinary  circumstances"".  Airlines  fear  that  ""extraordinary  circumstances""  may  not  include  bad  weather,  security  alerts  or  strikes  -  events  which  are  outside  of  their  control.  All  EU-based  airlines  and  operators  of  flights  which  take  off  from  the  EU  will  have  to  adhere  to  the  new  compensation  regime  which  came  into  force  on  Thursday.  Low-cost  airlines  have  criticised  the  new  compensation  levels,  arguing  that  the  pay-out  could  be  worth  more  than  the  ticket.  ""It's  a  preposterous  piece  of  legislation,  we  among  all  airlines  are  fighting  this,""  Ryanair  deputy  chief  executive  Michael  Cawley  told  Radio  4's  Today  programme.  |||    The  European  Regions  Airline  Association  (ERAA)  claims  that  neither  airlines  nor  consumers  were  consulted  over  the  changes.  Andy  Clarke,  ERAA  director  of  air  transport,  said  that  the  EC  advice  misleads  customers  as  it  leads  them  to  believe  that  airlines  could  be  liable  for  payouts  if  flights  are  delayed  because  of  bad  weather.  |||    EC  spokeswoman  Marja  Quillinan-Meiland  conceded  there  were  ""grey  areas""  but  said  ""these  are  not  as  big  as  the  airlines  are  making  out"".  In  cases  of  dispute,  national  enforcement  bodies  would  decide  whether  the  passenger  had  a  case,  she  said.  New  technology  means  it  is  easier  for  airlines  to  take  off  and  land  in  bad  weather,  she  added.  The  ERAA's  Mr  Clarke  also  warned  that  while  airlines  would  comply  with  the  new  rules,  the  extra  costs  would  be  passed  onto  passengers.  ""We  reckon  it's  going  to  cost  European  air  passengers  -  not  the  airlines,  the  airlines  have  no  money,  it  has  to  be  paid  by  passengers  -  1.5bn  euros,  that's  over  £1bn  a  year  loaded  onto  European  passengers,""  Mr  Clarke  said.  ""That's  basically  a  transfer  of  money  from  passengers  whose  journeys  are  not  disrupted  to  passengers  whose  journeys  are  disrupted.""  |||    On  Wednesday,  Jacques  Barrot,  vice  president  of  the  European  Commission  and  also  Commissioner  for  Transport,  said  that  the  changes  were  necessary.  ""The  boom  in  air  travel  needs  to  be  accompanied  by  proper  protection  of  passengers'  right.""  ""This  is  a  concrete  example  of  how  the  Union  benefits  people's  daily  lives,""  he  added.  The  EC  has  launched  an  information  campaign  in  airports  and  travel  agencies  to  inform  airline  passengers  of  their  new  rights." 

0	"Dollar  slides  ahead  of  New  Year  |||    The  US  dollar  has  hit  a  new  record  low  against  the  euro  and  analysts  predict  that  more  declines  are  likely  in  2005.  |||    Disappointing  economic  reports  dented  the  currency,  which  had  been  rallying  after  European  policy  makers  said  they  were  worried  about  the  euro's  strength.  Earlier  on  Thursday,  the  Japanese  yen  touched  its  lowest  versus  the  euro  on  concerns  about  economic  growth  in  Asia.  Currency  markets  have  been  volatile  over  the  past  week  because  of  technical  and  automated  trading  and  light  demand.  This  has  amplified  reactions,  analysts  said,  adding  that  they  expect  markets  to  become  less  jumpy  in  January.  |||    ""People  want  to  go  into  the  weekend  and  the  New  Year  positioned  for  a  weaker  buck,""  said  Tim  Mazanec,  director  of  foreign  exchange  at  Investors  Bank  and  Trust.  The  dollar  slid  to  a  record  $1.3666  versus  the  euro  on  Thursday,  before  bouncing  back  to  $1.3636.  Against  the  yen  the  dollar  was  trading  down  at  $103.05.  |||    The  yen,  meanwhile,  dropped  to  141.60  per  euro  in  afternoon  trading.  It  later  strengthened  to  140.55.  Investors  are  concerned  about  the  size  of  the  US  trade  and  budget  deficits  and  are  betting  that  George  W  Bush's  administration  will  allow  the  dollar  to  weaken  despite  saying  they  favour  a  strong  currency.  Also  playing  on  investors'  minds  are  mixed  reports  about  the  state  of  the  US  economy.  On  Thursday,  disappointing  business  figures  from  Chicago  brought  a  sudden  end  to  a  rally  in  the  value  of  the  dollar.  The  National  Association  of  Purchasing  Management-Chicago  said  its  index  dropped  to  61.2,  more  than  analysts  had  expected.  German  Chancellor  Gerhard  Schroeder  and  Italian  Prime  Minister  Silvio  Berlusconi  voiced  concerns  about  the  strength  of  the  euro.  Mr  Berlusconi  said  the  euro's  strength  was  ""absolutely  worrying""  for  Italian  exports.  Mr  Schroeder  said  in  a  newspaper  article  that  stability  in  foreign  exchange  markets  required  a  correction  of  global  economic  imbalances." 

0	"Pension  hitch  for  long-living  men  |||    Male  life  expectancy  is  much  higher  than  originally  estimated,  leading  pension  researchers  have  said.  |||    The  Pensions  Policy  Institute  (PPI)  said  life  expectancy  for  unskilled  and  professional  men  has  been  understated.  Life  expectancy  at  birth  is  71  years  for  a  manual  worker  and  79  years  for  a  professional  -  a  gap  of  eight  years.  But  if  measured  at  age  65  instead,  the  PPI  said,  a  manual  worker  will  live  to  81  years  and  a  professional  worker  to  86  years  -  a  gap  of  just  five  years.  The  PPI's  estimate  is  higher  because  it  excludes  people  who  have  died  before  they  reach  65  years  of  age  and  also  takes  into  account  ongoing  improvements  in  life  expectancy.  |||    The  government  has  ruled  out  raising  the  state  pension  age,  because  it  says  it  would  penalise  lower-skilled  workers  who  generally  have  lower  life  expectancies.  Chris  Curry,  PPI  research  director,  said  its  calculations  suggested  there  could  be  more  pressure  on  state  pension  spending  than  originally  envisaged.  ""Even  people  in  social  class  V  [unskilled  manual  workers]  who  are  widely  likely  to  have  the  lowest  life  expectancy  can  still  expect  to  live  16  years  after  state  pension  age,""  he  said.  Researchers  have  not  updated  life  expectancy  projections  for  women,  who  on  average  live  longer  than  men." 

2	"McConnell  details  Scots  wave  toll  |||    At  least  three  people  from  Scotland  died  in  the  tsunami  disaster  and  a  further  three  are  on  the  missing  list,  the  first  minister  has  told  MSPs.  |||    The  figures  came  out  during  a  statement  by  Jack  McConnell  to  the  Scottish  Parliament  on  Wednesday.  He  formally  expressed  Scotland's  sympathy  for  the  victims  of  the  Indian  Ocean  tidal  wave  which  killed  150,000.  Mr  McConnell  went  on  to  promise  that  Scotland  would  play  its  part  in  the  reconstruction  effort.  He  said  the  provisional  figures  on  the  dead  and  lost  had  been  provided  by  the  police.  |||    Mr  McConnell  said  the  tragedy  should  persuade  everyone  to  step  up  the  fight  against  global  poverty  and  change  the  world  for  the  better.  He  said  he  was  proud  of  the  generous  response  of  people  in  Scotland  to  the  disaster  appeal,  which  is  expected  soon  to  top  £20m.  The  first  minister  also  praised  Scottish  Water  for  immediately  flying  bottled  water  and  five  large  generators  to  the  disaster  zone.  The  Scottish  Executive  has  seconded  11  staff  to  the  aid  agencies.  |||    But  he  said  Scotland  was  ""in  it  for  the  long  term""  with  help  planned  for  fishing  communities,  for  children's  services,  and  for  the  aid  charities.  He  said  2005  must  be  the  year  that  Scotland  showed  clearly  it  cared  for  what  happened  to  people  elsewhere  in  the  world,  whether  in  Asia  or  in  Africa.  Mr  McConnell  went  on  to  signal  that  the  executive  would  play  its  part  in  the  Make  Poverty  History  campaign  being  mounted  by  a  variety  of  aid  charities,  trade  unions  and  churches  in  the  run-up  to  the  G8  summit  in  Gleneagles  in  July.  Edinburgh  architect,  Dominic  Stephenson,  became  the  first  Scot  to  be  confirmed  as  a  victim  of  the  Asian  tsunami.  The  27-year-old  was  holidaying  on  the  Thai  island  of  Koh  Phi  Phi  with  Eileen  Lee,  24.  She  is  still  missing." 

